model,mse,rmse,mae,mape,r2,cv_r2_mean,cv_r2_std,cv_neg_mse_mean,cv_neg_mse_std,cv_neg_mae_mean,cv_neg_mae_std,feature_importance
LinearRegression,38694843455.565475,196710.04919821833,169845.34475380514,45.42680188321238,-0.14350139908163184,-0.019112916568758777,0.08149972848488153,-44207698138.62145,3682293717.123303,-182684.40323595903,10396.729101015862,"[28850.26383245  2549.33869632 81855.35393086 65881.81647603
 52113.4865725  10456.02947323 10503.05414586  4060.63518849
 22185.06504799  5286.61661738 10243.65779194  4797.96152871
 14951.36498629 29992.98430693  3956.36057737  3956.36057737
  8680.27418865  8680.27418865 15831.67901547 15831.67901547]"
Lasso,38694808075.81045,196709.95926950534,169845.33170073852,45.426817862711374,-0.14350035354698787,-0.019110518807900267,0.08149718608411818,-44207599989.10594,3682254741.5691247,-182684.16033393538,10396.705188605603,"[2.88501194e+04 2.54852841e+03 8.18507375e+04 6.58800894e+04
 5.21099641e+04 1.26179812e+04 1.26648012e+04 1.89770948e+03
 2.00219892e+04 7.44858405e+03 1.78060111e+04 1.23605266e+04
 2.25131198e+04 2.24294876e+04 7.91296558e+03 0.00000000e+00
 1.73593213e+04 1.05091692e-11 3.16618601e+04 0.00000000e+00]"
Ridge,38605503902.90166,196482.83360869382,169722.65015797797,45.411524888500765,-0.14086125651116954,-0.01659444048399057,0.07862005928090868,-44102206584.751915,3605746473.26447,-182481.57442954762,10348.2336871584,"[28709.06245211  2041.8463262  75113.77948613 63763.64068287
 46736.99789193 10234.01414036 10112.18773003  4077.24420493
 21721.95717037  5452.99950493 10850.0558034   4603.16445645
 13392.69633109 28845.91659094  4034.66232599  4034.66232599
  8548.3078616   8548.3078616  15585.91346469 15585.91346469]"
ElasticNet,37963514533.29828,194842.2811745394,168824.54612253196,45.38734654266863,-0.12188932958814158,-0.004190334674549235,0.06191578482080458,-43588000551.90898,3262753357.6629877,-181375.9124601091,10403.369156657025,"[26859.07219482  5358.63617829 29301.65098452 43561.56228741
 13905.08561645  7555.90284299  6370.33056239  3889.41567012
 15709.23828736  5671.4205595  11627.89854066  3201.58242359
  3901.05635396 18732.53852911  5278.89081387  5278.89079451
  6100.88637955  6100.886242   11516.2900585  11516.29014274]"
